"Source: Demographic and Health Survey Nigeria, 2018",
,
Percentage of women age 15-49 who have been circumcised,
,
State,Percentage of women circumcised
FCT-Abuja,5.1
Benue,5.3
Kogi,1
Kwara,46
Nasarawa,1.8
Niger,10.5
Plateau,3
Adamawa,0
Bauchi,10.7
Borno,2.4
Gombe,0.1
Taraba,3.9
Yobe,14.2
Jigawa,34.1
Kaduna,48.8
Kano,22.2
Katsina,1.4
Kebbi,1.6
Sokoto,5.4
Zamfara,5.3
Abia,12.2
Anambra,21.4
Ebonyi,53.2
Enugu,25.3
Imo,61.7
Akwa Ibom,10.2
Bayelsa,6.7
Cross River,11.9
Delta,33.7
Edo,35.5
Rivers,9.3
Ekiti,57.9
Lagos,23.7
Ogun,8.2
Ondo,43.7
Osun,45.9
Oyo,31.1
