Source:,https://www.unhcr.org/refugee-statistics/download/?url=G6YEb1,
,,
,,
,,
Year,Country of asylum,Refugees under UNHCR's mandate
2020,Uganda,1396773
2020,Sudan,1058771
2020,Ethiopia,770755
2020,Dem. Rep. of the Congo,525586
2020,Chad,472108
2020,Kenya,443336
2020,Cameroon,414856
2020,South Sudan,302132
2020,Egypt,269300
2020,United Rep. of Tanzania,239745
2020,Niger,225741
2020,Rwanda,144189
2020,Algeria,97384
2020,Mauritania,90391
2020,South Africa,78395
2020,Burundi,76880
2020,Zambia,61137
2020,Nigeria,60838
2020,Mali,44816
2020,Congo,26702
2020,Angola,25553
2020,Djibouti,19866
2020,Burkina Faso,19838
2020,Somalia,14731
2020,Senegal,14344
2020,Malawi,14318
2020,Ghana,12044
2020,Togo,12011
2020,Papua New Guinea,9686
2020,Zimbabwe,9115
2020,Central African Rep.,8659
2020,Liberia,8191
2020,Morocco,7387
2020,Guinea,5248
2020,Libya,5164
2020,Mozambique,4746
2020,Gambia,4394
2020,Namibia,3302
2020,Tunisia,2172
2020,Cote d'Ivoire,2070
2020,Guinea-Bissau,1599
2020,Benin,1301
2020,Eswatini,948
2020,Botswana,889
2020,Gabon,469
2020,Lesotho,222
2020,Eritrea,199
2020,Madagascar,110
2020,Mauritius,20
