Source:,NDHS 2018 Key Findings – National Population Commission
,
,
Year,Spousal violence: Physical violence committed by any husband/partner
2018,19.9%
2013,15.7%
2008,17.5%
,
,
,
Source:,Measuring the shadow pandemic: Collecting violence against women data through telephone interviews. An evidence-based technical guidance | UN Women Data Hub
A more recent survey by UN Women found that 74% of women reported that physical or verbal abuse by a spouse/partner had increased in their community during the pandemic (%),
