Source:,"Kenya Demographic and Health Survey, 2022"
,
County,Percentage of women age 15–19 who have ever pregnant
Mombasa,10.8
Kwale,14.8
Kilifi,12.5
Tana River,17.6
Lamu,13.7
Taita/Taveta,18.4
Garissa,14.8
Wajir,10.8
Mandera,14.6
Marsabit,29.4
Isiolo,16.7
Meru,23.6
Tharaka-Nithi,9.9
Embu,14.4
Kitui,9.2
Machakos,11.3
Makueni,11.1
Nyandarua,5.2
Nyeri,4.5
Kirinyaga,7.3
Murang’a,7.4
Kiambu,11.9
Turkana,18.5
West Pokot,36.3
Samburu,50.1
Trans Nzoia,17.8
Uasin Gishu,10.7
Elgeyo/Marakwet,12.1
Nandi,10.5
Baringo,20.3
Laikipia,9.1
Nakuru,17.3
Narok,28.1
Kajiado,21.8
Kericho,14.5
Bomet,9
Kakamega,15.1
Vihiga,7.7
Bungoma,18.6
Busia,18.3
Siaya,20.9
Kisumu,11.1
Homa Bay,23.2
Migori,23
Kisii,14.2
Nyamira,15.5
Nairobi City,8.4
