Source:,"The DHS Program - Nigeria: DHS, 2018 - Final Report (English)",,
,,,
,,,
,,,
Region,Teenagers who have begun childbearing,Median age at first marriage [Women]: 25-49,Women circumcised (FGC)
North Central,16.30%,19,9.90%
North East,24.50%,16.6,6.10%
North West,28.50%,15.8,20.20%
South East,8.80%,23.6,35.00%
South West,5.50%,23.3,30.00%
South South,10.60%,22.5,17.70%
FCT Abuja,10.60%,21.5,5.10%
Benue,17.90%,19,5.30%
Kogi,20.40%,19.6,1.00%
Kwara,10.70%,21.1,46.00%
Nasarawa,10.10%,19.1,1.80%
Niger,26.10%,17.5,10.50%
Plateau,8.20%,19.6,3.00%
Adamawa,23.90%,19.2,0.00%
Bauchi,40.70%,15.5,10.70%
Borno,13.50%,17.4,2.40%
Gombe,23.00%,15.8,0.10%
Taraba,24.70%,18,3.90%
Yobe,22.20%,15.9,14.20%
Jigawa,26.90%,15.7,34.10%
Kaduna,31.30%,16.7,48.80%
Kano,27.00%,15.9,22.20%
Katsina,27.30%,15.3,1.40%
Kebbi,27.20%,15.7,1.60%
Sokoto,32.10%,15.9,5.40%
Zamfara,29.40%,15.5,5.30%
Abia,10.90%,25,12.20%
Anambra,12.20%,23.5,21.40%
Ebonyi,8.20%,21,53.20%
Enugu,7.00%,23.2,25.30%
Imo,5.00%,,61.70%
Ekiti,15.50%,21.5,57.90%
Lagos,1.10%,,23.70%
Ogun,7.80%,23,8.20%
Ondo,9.10%,21.4,43.70%
Osun,7.70%,21.5,45.90%
Oyo,8.20%,22.4,31.10%
Akwa Ibom,12.80%,21.8,10.20%
Bayelsa,19.90%,20.5,6.70%
Cross River,14.00%,22.4,11.90%
Delta,9.90%,22.2,33.70%
Edo,8.70%,21.7,35.50%
Rivers,7.30%,24.2,9.30%
