"Source: Our World in Data, 2021",
,
"Confirmed deaths, including all victims and attackers who died because of a terrorist attack.",
,
Year,Sub-Saharan Africa
1970,1
1971,1
1972,0
1973,5
1974,4
1975,29
1976,8
1977,17
1978,112
1979,334
1980,82
1981,102
1982,68
1983,482
1984,1031
1985,211
1986,799
1987,648
1988,735
1989,1202
1990,660
1991,1347
1992,2442
1994,3232
1995,1320
1996,2558
1997,2188
1998,1437
1999,885
2000,1026
2001,1169
2002,1041
2003,555
2004,317
2005,379
2006,972
2007,1383
2008,1475
2009,1731
2010,830
2011,1237
2012,2994
2013,3859
2014,13345
2015,10766
2016,6662
2017,6746
2018,6620
2019,6562
2020,8948
2021,4836
