"Source: Our World in Data, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Confirmed deaths, including all victims and attackers who died because of a terrorist attack.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Central African Republic,Chad,Cote d'Ivoire,Democratic Republic of Congo,Djibouti,Egypt,Eritrea,Eswatini,Ethiopia,Gabon,Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Republic of the Congo,Rwanda,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sub-Saharan Africa,Sudan,Tanzania,Togo,Tunisia,Uganda,Zaire,Zambia,Zimbabwe
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0
1974,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,1,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,1,1,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,6,0,112,0,0,0,0,0,0,0,0
1979,0,19,0,0,0,0,0,0,0,0,0,4,1,,0,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,0,0,0,0,0,0,0,0,8,0,334,0,1,0,0,13,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,26,0,82,0,0,0,41,0,0,0,13
1981,0,3,0,0,0,0,0,3,0,0,0,0,67,,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,102,2,0,0,0,57,0,0,13
1982,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,15,0,0,0,0,0,9,0,68,0,0,0,0,0,0,0,22
1983,0,282,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,28,0,482,0,0,0,0,121,0,0,11
1984,0,179,0,0,1,0,0,0,0,0,0,0,0,,1,200,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,56,26,0,0,0,0,0,0,0,0,21,0,1031,305,0,0,0,235,2,0,4
1985,0,6,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,74,3,0,0,0,0,0,0,0,82,0,211,0,0,1,0,32,0,0,5
1986,0,119,0,0,0,0,0,0,0,0,0,0,12,,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,470,5,0,0,0,0,0,0,0,0,153,0,799,8,0,0,0,1,0,2,1
1987,0,5,0,3,0,0,0,0,0,0,0,10,1,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,468,2,0,0,0,0,0,0,0,0,120,0,648,0,0,0,0,1,0,0,35
1988,0,145,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,145,25,0,4,0,0,2,0,0,0,152,0,735,58,0,0,0,160,28,9,2
1989,0,88,0,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,710,1,171,0,0,0,0,0,0,30,57,0,1202,14,0,0,0,72,0,33,21
1990,3,147,0,6,0,0,0,0,0,0,0,1,21,,0,17,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,185,0,0,0,0,0,20,0,0,5,150,0,660,0,0,0,0,84,0,20,9
1991,42,69,0,0,1,117,36,3,40,0,0,8,8,,0,161,0,0,0,0,0,0,0,0,0,4,0,43,0,0,3,271,3,8,10,0,0,5,0,128,6,384,0,1347,32,0,13,4,2,3,0,0
1992,236,97,0,0,0,61,6,1,170,1,0,228,49,,0,330,0,0,0,0,0,155,0,37,0,16,32,5,0,0,2,155,0,34,135,0,141,64,0,21,8,706,0,2442,13,0,12,0,2,10,0,0
1994,500,108,0,0,0,265,33,2,1,5,0,6,173,0,0,6,0,13,13,2,0,40,0,110,0,0,0,131,0,0,0,0,0,53,15,12,1571,5,0,228,78,447,0,3232,17,1,47,1,22,1,0,0
1995,418,52,0,0,0,583,5,0,0,40,0,0,134,0,0,5,0,0,2,0,0,2,0,0,0,4,0,2,0,0,0,15,0,22,1,0,201,18,0,40,29,105,0,1320,6,0,0,7,145,43,0,0
1996,529,18,0,0,0,1371,0,2,1,5,0,0,97,6,0,133,0,0,3,2,0,2,0,10,12,1,0,0,0,0,0,0,0,2,24,0,129,0,0,60,28,82,0,2558,40,0,3,0,413,223,0,0
1997,4266,34,0,0,0,386,0,0,2,0,8,11,165,0,0,8,4,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,32,107,2,1027,92,0,16,145,23,0,2188,1,1,0,0,239,13,0,0
1998,952,275,0,0,0,392,0,0,0,0,67,0,9,0,1,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,4,0,258,0,13,0,1437,0,11,0,0,81,0,0,0
1999,467,299,0,0,0,108,0,0,77,0,7,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,134,107,0,1,0,28,9,4,0,885,16,0,0,0,75,0,1,0
2000,528,178,0,0,0,97,0,1,0,4,40,0,0,0,0,3,0,0,0,206,0,26,0,0,0,0,0,0,0,0,0,1,24,0,0,0,4,4,0,60,36,18,0,1026,27,0,0,5,297,0,0,0
2001,624,846,0,0,0,166,0,7,0,12,15,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,3,0,2,28,0,0,3,0,0,1169,13,2,0,3,56,0,0,1
2002,615,59,0,0,0,67,0,0,21,3,16,0,0,0,0,1,0,0,0,0,0,16,0,3,0,0,1,0,0,0,0,0,0,0,28,17,0,8,0,0,6,1,0,1041,589,24,0,21,173,0,0,8
2003,269,0,0,0,0,116,0,0,0,0,154,0,0,0,0,2,0,0,0,0,1,3,0,2,0,0,0,0,0,0,45,0,0,0,28,11,0,0,0,0,7,0,0,555,0,0,0,0,231,0,0,0
2004,166,0,0,0,0,18,0,0,0,12,22,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,2,0,0,317,28,0,0,0,193,0,0,0
2005,228,0,0,0,0,13,0,0,0,41,31,0,92,0,0,9,0,0,0,0,3,56,0,0,0,0,0,0,23,0,0,0,0,0,19,0,30,0,0,0,20,0,0,379,54,0,0,0,80,0,0,0
2006,185,0,0,0,0,21,0,4,103,20,23,0,19,0,0,12,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,22,0,0,972,484,0,0,0,0,0,0,0
2007,241,0,0,0,0,3,31,1,136,0,72,0,0,0,0,204,0,0,0,0,0,33,0,0,0,0,0,20,0,0,13,6,0,66,82,0,0,1,0,0,408,1,0,1383,317,0,0,14,2,0,0,0
2008,249,0,0,0,0,28,3,1,172,0,319,0,0,4,0,27,0,0,0,0,0,103,0,12,0,0,0,55,12,0,0,0,0,6,72,0,0,10,0,0,436,0,0,1475,205,0,0,0,3,0,0,7
2009,204,2,0,0,0,0,0,38,0,0,824,0,1,2,0,13,0,0,0,0,1,0,0,0,0,2,0,30,2,0,0,0,0,18,316,0,4,9,0,0,381,0,0,1731,77,0,0,0,11,0,0,0
2010,109,4,0,0,0,14,5,46,0,10,118,0,0,17,0,8,0,0,0,0,0,19,0,0,0,0,0,1,1,0,0,0,0,9,117,0,6,3,0,0,295,0,0,830,81,0,0,0,75,0,0,1
2011,25,0,0,0,0,47,4,35,0,23,50,0,28,17,0,2,0,0,0,0,0,42,0,0,0,0,0,5,1,0,17,0,0,4,447,0,2,21,0,0,344,0,0,1237,193,0,0,4,0,0,0,0
2012,30,0,0,0,0,6,0,14,0,45,288,0,44,0,0,25,0,0,0,0,1,107,0,0,33,0,0,53,0,0,0,1,0,1,1506,0,10,16,0,0,783,5,68,2994,60,0,0,4,5,0,0,0
2013,101,0,0,0,1,5,7,121,0,4,150,0,243,0,0,17,0,0,0,0,0,207,0,0,232,0,0,137,0,0,0,37,0,26,2015,2,6,7,0,0,660,2,226,3859,220,8,0,25,0,0,0,1
2014,37,0,0,0,0,4,789,751,6,4,366,5,343,0,0,9,0,0,0,0,0,315,0,0,694,1,0,125,0,0,0,22,0,11,7775,0,1,7,0,0,1589,9,908,13345,546,4,0,43,98,0,0,0
2015,20,0,0,0,16,223,931,171,306,14,371,0,829,0,0,48,0,0,0,1,0,268,1,0,689,0,0,269,0,0,0,12,0,666,5567,0,0,0,0,0,1455,5,218,10766,210,10,0,107,4,0,0,0
2016,9,0,0,0,62,74,269,189,22,22,532,0,609,0,0,279,0,0,0,1,0,72,0,0,634,3,0,182,0,0,0,62,0,190,2174,31,0,0,0,1,1583,21,633,6662,182,3,0,71,75,0,0,0
2017,12,7,0,0,53,20,244,604,62,3,596,0,878,0,0,69,0,0,0,0,0,126,0,0,290,0,0,363,0,0,0,24,0,148,1809,0,2,0,0,0,1917,21,581,6746,82,8,0,5,7,0,0,0
2018,19,0,0,0,116,36,296,227,112,2,993,0,98,0,0,25,0,0,2,1,0,74,0,0,244,0,0,584,0,0,2,138,0,75,2577,0,12,15,0,0,1144,24,97,6620,42,9,0,16,17,0,0,2
2019,0,5,1,0,804,25,318,116,189,0,642,0,152,0,0,83,2,0,2,0,0,105,0,0,90,0,0,826,0,0,0,333,0,364,1718,0,22,3,0,0,860,10,67,6562,59,6,0,9,2,0,0,0
2020,7,12,1,0,681,28,209,103,244,16,1356,0,143,0,0,1330,0,0,4,0,0,59,0,0,11,0,0,566,0,0,0,709,0,371,2102,0,4,0,0,0,885,7,56,8948,160,24,0,5,20,0,0,1
2021,5,0,0,0,422,28,83,62,42,12,689,1,13,0,0,488,0,0,0,0,0,32,0,0,13,0,0,299,0,0,0,154,0,447,1493,0,2,0,0,0,462,8,51,4836,59,0,0,5,2,0,0,0
