Source:,"Nigeria Violence Against Children Survey (VACS), 2014.",
,,
Percent of females and males aged 18-24 years who reported each time of 1 day of first experience of any sexual abuse among those who were victims of sexual abuse prior to age 18,,
,,
Time of the Day,Females,Males
Morning,10.4%,16.0%
Afternoon,43.8%,43.6%
Evening,42.8%,39.0%
Late at Night,20.2%,16.0%
,,
Total sum may be greater than 100% because respondents could have identified a different time of day for each act of sexual abuse experienced i.e. the time of day at which first sexual touching occurred may be different from the time of day at which first attempted sex occurred.,,
