"Source: Ghana Demographic Health Survey, 2014",
,
"Percentage of all women age 15-49 who agree that a husband is justified in hitting or beating his wife for specific reasons, by background
characteristics i.e  if she burns the food, if she argues with him, if she goes out without telling him, if she neglects the children, and if she refuses to have sexual intercourse with him. 
",
,
Marital Status,Percentage who agree with at least one specified reason
Urban,21%
Rural,36.7%
,
,
"Percentage of all men age 15-49 who agree that a husband is justified in hitting or beating his wife for specific reasons, by background
characteristics",
,
Marital Status,Percentage who agree with at least one specified reason
Urban,9%
Rural,16.9%
