Source: ,2022 Kenya Demographic and Health Survey,
,https://www.knbs.or.ke/wp-content/uploads/2023/08/Kenya-Demographic-and-Health-Survey-2022-Key-Indicators-Report.pdf,
,2021 Kenya Time Use Survey,
,https://www.knbs.or.ke/wp-content/uploads/2023/10/Kenya-Time-Use-Survey-2021_1.pdf,
,,
"This dataset contains information on the Female Unpaid Care Work (% of day) and the Sexual Violence (12-month prevalence, %) in Kenya in 2021.",,
,,
County,Female Unpaid Care Work (% of day),"Sexual Violence (12-month prevalence, %)"
Mombasa,18.6,3.8
Kwale,18,3.3
Kilifi,19,6.5
Tana River,15,3.1
Lamu,19.2,5
Taita Taveta,14.7,3.6
Garissa,16.8,3
Wajir,17.4,1
Mandera,17.5,1.8
Marsabit,15.7,3.5
Isiolo,15.8,5.3
Meru,18,3
Tharaka-Nithi,18.4,6.9
Embu,18.6,4.2
Kitui,18.5,3
Machakos,18.2,3.2
Makueni,19.4,3.2
Nyandarua,17.4,1.6
Nyeri,19.6,5.6
Kirinyaga,19.4,3.2
Murang'a,20.5,13.6
Kiambu,20.2,4.8
Turkana,15.6,6
West Pokot,16.2,4.9
Samburu,15.5,2.2
Trans Nzoia,17,5.6
Uasin Gishu,19.4,3.9
Elgeyo/Marakwet,18.8,4.6
Nandi,19.4,5.2
Baringo,18.8,3.5
Laikipia,17.8,3.1
Nakuru,18.6,3.6
Narok,17.4,8.7
Kajiado,17.3,8.6
Kericho,17.3,2.6
Bomet,18.2,7.4
Kakamega,19.1,5.6
Vihiga,18.5,5.9
Bungoma,19.2,4.9
Busia,19.7,3.2
Siaya,18,4.3
Kisumu,18.8,7
Homa Bay,19.7,16.4
Migori,19.5,7.1
Kisii,18.2,6
Nyamira,19,7.1
Nairobi,18.7,5.8
