Source:,"The DHS Program - Nigeria: DHS, 2018 - Final Report (English)"
,
,
Region,Women who committed physical violence against their husband/partner in past 12 months
Abia,4.4%
Adamawa,14.6%
Akwa Ibom,2.0%
Anambra,0.9%
Bauchi,2.1%
Bayelsa,5.0%
Benue,1.7%
Borno,1.5%
Cross River,2.3%
Delta,2.4%
Ebonyi,7.0%
Edo,3.1%
Ekiti,0.6%
Enugu,2.1%
FCT Abuja,1.4%
Gombe,4.9%
Imo,0.6%
Jigawa,0.0%
Kaduna,1.1%
Kano,0.5%
Katsina,0.3%
Kebbi,0.0%
Kogi,1.7%
Kwara,0.3%
Lagos,0.0%
Nasarawa,1.7%
Niger,0.4%
North Central,1.3%
North East,3.7%
North West,0.4%
Ogun,1.0%
Ondo,1.3%
Osun,0.6%
Oyo,2.0%
Plateau,2.2%
Rivers,5.1%
Sokoto,0.0%
South East,2.7%
South South,3.4%
South West,0.9%
Taraba,2.7%
Yobe,0.5%
Zamfara,0.3%
