Source: YouTube ,,,,,
As of 5 August 2024,,,,,
,,,,,
Rapper,Gender,YouTube views of most popular song,YouTube likes of most popular song,YouTube comments of most popular song,Link to YouTube channel 
Jozie,Female,"45,000",944,47,https://youtube.com/@jozie?si=v_pXSuG_uFplTqqx
Sister LB,Female,"7,300",566,118,https://youtube.com/@sisterlb_officielsn?si=Z88ngvwjvhOErg2m
Mina la voilée,Female,"18,000",653,81,https://youtube.com/channel/UCr9FuqBlEspm7MUfbJSf01A?si=_JQghHg_pblSGk2Y
Sister Fa,Female,"92,000",833,70,https://youtube.com/@sisterfahiphopqueen?si=9CD91uSpqhabvEL2
Mamy Victory,Female,"116,000","7,400",812,https://youtube.com/@mamyvictory?si=pkTVCOvjeTT8mMk5
Keurgui group,Male,"1,300,000","6,800",545,https://youtube.com/@keurgui2kaolack?si=RtkIhXdSH6w7qLPQ
Daaraj family,Male,"2,600,000","11,000",588,https://youtube.com/@daarajfamily?si=QETKes6e24r_d3ln
Ngaaka blindé,Male,"9,300,000","99,000","3,100",https://youtube.com/@ngaakablinde5946?si=3y2Lh7mLqIsq4PIT
Didier Awadi,Male,"779,000","18,000","1,800",https://youtube.com/@awadimusic?si=Lvz3Rrtc1rExg2zt
Dip Doundou Guiss,Male,"10,000,000","72,000","4,000",https://youtube.com/@dipdoundouguisstv?si=EyeYcYV0AMtjfLG8
